no,name,position,birthday,age,years,height,weight,pitch,bat,salary
00,林 琢真,IF,2000-08-24,24,3,174,74,R,L,1900
1,桑原 将志,OF,1993-07-21,32,14,174,80,R,R,12000
2,牧 秀悟,IF,1998-04-21,27,5,178,97,R,R,25000
3,オースティン,IF,1991-09-06,33,6,188,100,R,R,51200
4,度会 隆輝,OF,2002-10-04,22,2,183,83,R,L,2600
5,松尾 汐恩,C,2004-07-06,21,3,178,82,R,R,1100
6,森 敬斗,IF,2002-01-28,23,6,177,80,R,L,2300
7,佐野 恵太,OF,1994-11-28,30,9,178,88,R,L,17000
8,神里 和毅,OF,1994-01-17,31,8,179,86,R,L,3000
9,京田 陽太,IF,1994-04-20,31,9,184,90,R,L,6000
10,戸柱 恭孝,C,1990-04-11,35,10,179,90,R,L,7500
11,東 克樹,P,1995-11-29,29,8,170,80,L,L,21000
12,竹田 祐,P,1999-07-05,26,1,184,96,R,R,1600
13,伊勢 大夢,P,1998-03-07,27,6,183,94,R,R,9250
14,石田 健大,P,1993-03-01,32,11,180,85,L,L,10000
15,徳山 壮磨,P,1999-06-06,26,4,183,87,R,R,2000
16,大貫 晋一,P,1994-02-03,31,7,181,76,R,R,7200
17,三嶋 一輝,P,1990-05-07,35,13,175,80,R,B,6500
18,小園 健太,P,2003-04-09,22,4,185,90,R,R,690
19,山﨑 康晃,P,1992-10-02,32,11,179,88,R,R,30000
20,坂本 裕哉,P,1997-07-28,28,6,180,87,L,L,3700
22,入江 大生,P,1998-08-26,26,5,187,90,R,R,3350
24,吉野 光樹,P,1998-07-19,27,3,176,80,R,R,1400
25,筒香 嘉智,OF,1991-11-26,33,12,185,97,R,L,30000
26,三森 大貴,IF,1999-02-21,26,9,186,76,R,L,4300
27,藤浪 晋太郎,P,1994-04-12,31,11,197,98,R,R,5000
28,勝又 温史,OF,2000-05-22,25,7,180,90,R,L,620
29,伊藤 光,C,1989-04-23,36,18,180,88,R,R,5200
30,篠木 健太郎,P,2002-05-07,23,1,177,80,R,L,1200
31,柴田 竜拓,IF,1993-12-16,31,10,167,68,R,L,4700
