no,name,position,birthday,age,years,height,weight,pitch,bat,salary
0,渡部 遼人,OF,1999-09-02,25,4,171,72,L,L,1600
00,エスピノーザ,P,1998-03-09,27,2,183,86,R,R,25000
2,若月 健矢,C,1995-10-04,29,12,180,88,R,R,13000
4,森 友哉,C,1995-08-08,30,12,170,85,R,L,40000
5,西野 真弘,IF,1990-08-02,35,11,167,71,R,L,5000
6,宗 佑磨,IF,1996-06-07,29,11,181,83,R,L,7300
7,西川 龍馬,OF,1994-12-10,30,10,177,84,R,L,30000
8,麦谷 祐介,OF,2002-07-27,23,1,180,81,R,L,1500
9,野口 智哉,IF,1999-09-20,25,4,181,95,R,L,2000
10,大城 滉二,IF,1993-06-14,32,10,175,80,R,R,4000
11,山下 舜平大,P,2002-07-16,23,5,190,100,R,R,3600
12,東 晃平,P,1999-12-14,25,8,178,90,R,R,2400
13,寺西 成騎,P,2002-10-18,22,1,186,85,R,R,1100
14,宇田川 優希,P,1998-11-10,26,5,184,92,R,R,3700
15,椋木 蓮,P,2000-01-22,25,4,179,86,R,R,1200
16,平野 佳寿,P,1984-03-08,41,17,186,88,R,R,16500
17,曽谷 龍平,P,2000-11-30,24,3,183,83,L,L,3800
017,陳 睦衡,P,2006-03-23,19,1,181,84,R,L,600
18,宮城 大弥,P,2001-08-25,23,6,171,85,L,L,20000
19,山岡 泰輔,P,1995-09-22,29,9,172,68,R,L,6800
20,阿部 翔太,P,1992-11-03,32,5,178,80,R,L,4800
21,山﨑 颯一郎,P,1998-06-15,27,9,190,98,R,R,5300
22,九里 亜蓮,P,1991-09-01,33,12,188,98,R,R,14000
23,吉田 輝星,P,2001-01-12,24,7,175,83,R,R,3700
24,紅林 弘太郎,IF,2002-02-07,23,6,187,94,R,R,7900
25,内藤 鵬,IF,2004-10-05,20,3,180,103,R,R,600
26,齋藤 響介,P,2004-11-18,20,3,177,72,R,R,1200
27,元 謙太,OF,2002-05-17,23,5,186,88,R,R,700
28,富山 凌雅,P,1997-05-03,28,7,178,88,L,L,1400
29,田嶋 大樹,P,1996-08-03,29,8,182,82,L,L,10000
30,廣岡 大志,IF,1997-04-09,28,10,185,92,R,R,2200
31,太田 椋,IF,2001-02-14,24,7,181,84,R,R,3200
32,福永 奨,C,1999-07-28,26,4,175,87,R,R,1000
33,杉澤 龍,OF,2000-06-02,25,3,175,80,R,L,900
034,村上 喬一朗,C,2000-12-01,24,3,168,82,R,R,250
34,横山 聖哉,IF,2005-10-28,19,2,181,86,R,L,700
35,古田島 成龍,P,1999-06-29,26,2,175,85,R,R,3500
36,オリバレス,OF,1996-03-06,29,1,185,88,R,R,15000
37,石川 亮,C,1995-07-20,30,12,181,87,R,R,1600
38,来田 涼斗,OF,2002-10-16,22,5,182,93,R,L,1600
39,池田 陵真,OF,2003-08-24,21,4,171,83,R,R,800
40,岩嵜 翔,P,1989-10-21,35,18,189,90,R,R,2800
041,寿賀 弘都,P,2005-06-16,20,2,180,85,L,L,250
41,佐野 皓大,OF,1996-09-02,28,11,182,80,R,R,1700
42,マチャド,P,1993-04-22,32,2,185,105,R,R,35000
042,大江 海透,P,2000-01-13,25,2,180,95,L,L,250
043,宮國 凌空,P,2005-08-07,20,2,176,86,R,R,250
044,芦田 丈飛,P,2000-02-09,25,2,185,95,R,R,240
44,頓宮 裕真,C,1996-11-17,28,7,182,103,R,R,7000
45,東山 玲士,P,2000-05-05,25,1,180,83,R,R,800
045,河野 聡太,IF,2000-05-22,25,2,180,82,R,L,250
46,本田 仁海,P,1999-07-27,26,8,181,74,R,L,2600
47,山口 廉王,P,2006-05-14,19,1,193,97,R,R,500
48,東松 快征,P,2005-04-29,20,2,179,86,L,L,600
49,片山 楽生,P,2002-10-07,22,1,177,81,R,L,800
50,山中 稜真,C,2000-12-14,24,1,178,83,R,L,800
051,今坂 幸暉,IF,2006-10-19,18,1,178,83,R,L,240
052,清水 武蔵,IF,2003-04-14,22,1,173,78,R,R,240
52,横山 楓,P,1997-12-28,27,4,181,91,R,B,700
053,上原 堆我,P,2007-03-13,18,1,178,84,R,R,240
54,ディアス,IF,2000-08-13,25,1,178,95,R,R,8000
054,寺本 聖一,OF,2003-02-05,22,1,170,86,R,L,240
055,田島 光祐,C,2000-04-09,25,1,174,80,R,R,240
056,乾 健斗,P,2006-06-28,19,1,188,88,R,R,240
56,小木田 敦也,P,1998-10-10,26,4,173,83,R,R,3000
57,山田 修義,P,1991-09-19,33,16,185,95,L,L,6600
58,井口 和朋,P,1994-01-07,31,10,175,75,R,R,2400
59,ペルドモ,P,1993-05-09,32,3,188,84,R,R,20000
60,本田 圭佑,P,1993-04-24,32,10,180,80,R,R,2900
61,茶野 篤政,OF,1999-08-04,26,3,175,80,R,L,1600
62,堀 柊那,C,2005-07-16,20,2,179,82,R,R,500
64,大里 昂生,IF,1999-07-07,26,4,178,76,R,L,1600
65,福田 周平,OF,1992-08-08,33,8,167,65,R,L,5000
66,博志,P,1997-03-22,28,8,182,95,R,R,2700
67,中川 圭太,IF,1996-04-12,29,7,180,76,R,R,7000
68,入山 海斗,P,2000-05-26,25,3,177,78,R,R,240
93,佐藤 一磨,P,2001-04-16,24,6,190,97,L,L,900
94,川瀬 堅斗,P,2002-06-18,23,5,183,93,R,R,800
95,才木 海翔,P,2000-06-10,25,3,182,85,R,R,1200
96,髙島 泰都,P,1999-12-03,25,2,181,88,R,R,2000
98,権田 琉成,P,2000-01-28,25,2,180,88,R,R,700
99,杉本 裕太郎,OF,1991-04-05,34,10,190,104,R,R,6700
122,村西 良太,P,1997-06-06,28,6,174,76,R,L,1050
124,遠藤 成,IF,2001-09-19,23,6,178,84,R,L,500
125,デール,IF,2000-09-11,24,1,188,90,R,R,500
126,香月 一也,IF,1996-04-16,29,11,176,83,R,L,500
128,前 佑囲斗,P,2001-08-13,24,6,182,90,R,R,570
130,小野 泰己,P,1994-05-30,31,9,184,83,R,R,500
135,河内 康介,P,2005-04-16,20,2,180,76,R,R,600
153,宜保 翔,IF,2000-11-26,24,7,175,75,R,L,1000
