no,name,position,birthday,age,years,height,weight,pitch,bat,salary
0,上本 崇司,IF,1990-08-22,34,13,170,76,R,R,3700
00,羽月 隆太郎,IF,2000-04-19,25,7,168,73,R,L,2300
2,田中 広輔,IF,1989-07-03,36,12,171,85,R,L,3000
4,矢野 雅哉,IF,1998-12-16,26,5,171,72,R,L,5300
5,小園 海斗,IF,2000-06-07,25,7,178,91,R,L,9000
7,堂林 翔太,IF,1991-08-17,33,16,184,96,R,R,6000
9,秋山 翔吾,OF,1988-04-16,37,13,184,86,R,L,18000
10,佐々木 泰,IF,2002-12-24,22,1,178,84,R,R,1600
12,大道 温貴,P,1999-01-20,26,5,180,91,R,R,2400
13,森浦 大輔,P,1998-06-15,27,5,175,78,L,L,6300
14,大瀬良 大地,P,1991-06-17,34,12,188,94,R,R,20000
16,森 翔平,P,1998-01-01,27,4,177,86,L,L,2000
17,常廣 羽也斗,P,2001-09-18,23,2,180,79,R,R,1600
18,森下 暢仁,P,1997-08-25,27,6,181,81,R,R,16500
19,床田 寛樹,P,1995-03-01,30,9,181,97,L,L,15000
20,栗林 良吏,P,1996-07-09,29,5,177,88,R,R,16000
21,中﨑 翔太,P,1992-08-10,33,15,187,100,R,R,5200
22,髙 太一,P,2001-07-26,24,2,179,89,L,L,1200
24,黒原 拓未,P,1999-11-29,25,4,173,82,L,L,3400
26,益田 武尚,P,1998-10-06,26,3,174,86,R,R,1200
27,會澤 翼,C,1988-04-13,37,19,175,95,R,R,8000
28,佐藤 柳之介,P,2002-11-01,22,1,179,87,L,L,1200
29,ケムナ 誠,P,1995-06-05,30,8,190,96,R,R,2100
30,滝田 一希,P,2001-12-28,23,2,183,84,L,L,1000
31,坂倉 将吾,C,1998-05-29,27,9,177,91,R,L,15000
32,石原 貴規,C,1998-02-03,27,6,173,90,R,R,1900
33,菊池 涼介,IF,1990-03-11,35,14,171,71,R,R,25000
34,高橋 昂也,P,1998-09-27,26,9,182,95,L,L,700
35,赤塚 健利,P,2001-07-01,24,2,195,118,R,R,700
36,塹江 敦哉,P,1997-02-21,28,11,178,91,L,L,4000
37,野間 峻祥,OF,1993-01-28,32,11,182,86,R,L,8000
38,宇草 孔基,OF,1997-04-17,28,6,185,84,R,L,1300
39,長谷部 銀次,P,1998-07-29,27,3,184,88,L,L,1000
40,磯村 嘉孝,C,1992-11-01,32,15,178,92,R,R,2100
41,鈴木 健矢,P,1997-12-11,27,6,176,80,R,L,2700
42,ドミンゲス,P,1996-01-18,29,1,193,86,R,R,7750
43,島内 颯太郎,P,1996-10-14,28,7,180,86,R,R,8800
44,林 晃汰,IF,2000-11-16,24,7,181,98,R,L,1200
45,松本 竜也,P,1999-09-18,25,4,178,100,R,R,1400
46,河野 佳,P,2001-08-23,23,3,175,86,R,R,1100
47,斉藤 優汰,P,2004-05-27,21,3,189,96,R,L,700
48,アドゥワ 誠,P,1998-10-02,26,9,196,80,R,R,3400
49,渡邉 悠斗,IF,2002-07-07,23,1,182,103,R,R,800
50,中村 健人,OF,1997-05-21,28,4,183,96,R,R,1200
52,末包 昇大,OF,1996-05-27,29,4,188,107,R,R,3600
53,岡本 駿,P,2002-06-12,23,1,186,82,R,L,1000
54,韮澤 雄也,IF,2001-05-20,24,6,175,85,R,L,800
55,松山 竜平,OF,1985-09-18,39,18,176,96,R,L,3500
56,久保 修,OF,2000-09-29,24,3,181,89,R,R,700
57,持丸 泰輝,C,2001-10-26,23,6,177,91,R,L,550
58,仲田 侑仁,IF,2005-07-31,20,2,187,107,R,R,500
59,大盛 穂,OF,1996-08-31,28,7,179,84,R,L,2000
60,田村 俊介,OF,2003-08-25,21,4,178,97,L,L,1000
61,ファビアン,OF,1998-03-06,27,1,180,81,R,R,10850
62,清水 叶人,C,2004-07-06,21,3,176,91,R,L,500
63,内田 湘大,IF,2004-09-22,20,3,183,97,R,R,600
64,髙木 翔斗,C,2003-08-12,22,4,187,96,R,R,500
65,玉村 昇悟,P,2001-04-16,24,6,179,86,L,L,2600
66,遠藤 淳志,P,1999-04-08,26,8,186,90,R,R,1900
67,菊地 ハルン,P,2007-01-21,18,1,200,115,R,R,500
68,ハーン,P,1994-08-30,30,2,198,117,L,L,11325
69,山足 達也,IF,1993-10-26,31,8,174,76,R,R,1900
70,日髙 暖己,P,2004-09-16,20,3,183,75,R,L,450
93,前川 誠太,IF,2003-04-04,22,4,176,69,R,R,400
94,佐藤 啓介,IF,2001-05-24,24,2,182,90,R,L,700
95,モンテロ,IF,1998-08-17,26,1,190,106,R,R,12800
96,中村 奨成,OF,1999-06-06,26,8,181,86,R,R,800
97,中村 貴浩,OF,2000-04-09,25,3,177,87,R,L,800
98,辻 大雅,P,2004-08-29,20,3,182,84,L,L,350
99,二俣 翔一,IF,2002-10-21,22,5,180,78,R,R,1200
120,杉田 健,P,2001-08-28,23,2,188,84,R,R,350
121,名原 典彦,OF,2000-06-24,25,3,182,80,R,R,400
122,安竹 俊喜,C,2001-04-17,24,1,178,85,R,R,300
123,小船 翼,P,2006-06-20,19,1,198,116,R,R,250
126,竹下 海斗,P,2006-11-06,18,1,180,76,L,L,250
128,杉原 望来,P,2005-09-23,19,2,175,78,L,L,300
129,小林 樹斗,P,2003-01-16,22,5,182,92,R,R,450
130,ラミレス,IF,2002-02-01,23,2,191,124,R,R,300
131,ロベルト,OF,2000-10-27,24,2,191,104,R,R,300
