no,name,position,birthday,age,years,height,weight,pitch,bat,salary
00,尾田 剛樹,OF,2000-08-03,25,2,175,75,L,L,830
0,辻本 倫太郎,IF,2001-08-11,24,2,168,73,R,R,850
1,岡林 勇希,OF,2002-02-22,23,6,175,75,R,L,7000
2,田中 幹也,IF,2000-11-28,24,3,166,68,R,R,1850
3,高橋 周平,IF,1994-01-18,31,14,180,90,R,L,6000
4,カリステ,IF,1992-02-03,33,3,184,87,R,R,9000
5,村松 開人,IF,2001-01-06,24,3,172,80,R,L,3300
6,中田 翔,IF,1989-04-22,36,18,184,107,R,R,30000
7,福永 裕基,IF,1996-09-16,28,3,180,87,R,R,3500
8,大島 洋平,OF,1985-11-09,39,16,176,75,L,L,10000
9,石伊 雄太,C,2000-08-18,24,1,178,84,R,R,1000
11,岡田 俊哉,P,1991-12-05,33,16,178,69,L,L,1000
13,橋本 侑樹,P,1998-01-08,27,6,180,80,L,L,2700
14,草加 勝,P,2001-11-21,23,2,182,77,R,R,1400
17,柳 裕也,P,1994-04-22,31,9,180,85,R,R,11000
18,梅津 晃大,P,1996-10-24,28,7,189,100,R,R,1400
19,髙橋 宏斗,P,2002-08-09,23,5,186,86,R,R,12000
20,涌井 秀章,P,1986-06-21,39,21,185,85,R,R,9000
21,金丸 夢斗,P,2003-02-01,22,1,177,77,L,L,1600
22,大野 雄大,P,1988-09-26,36,15,184,85,L,L,12000
23,チェイビス,IF,1995-08-11,30,1,178,96,R,R,5000
24,ボスラー,OF,1993-09-06,31,1,186,98,R,L,10000
25,石川 昂弥,IF,2001-06-22,24,6,186,100,R,R,3000
26,仲地 礼亜,P,2001-02-15,24,3,177,83,R,R,1150
27,津田 啓史,IF,2002-11-23,22,2,181,88,R,R,1000
28,森 博人,P,1998-05-25,27,5,177,84,R,R,870
29,松木平 優太,P,2003-02-24,22,5,180,85,R,R,1050
30,根尾 昂,P,2000-04-19,25,7,177,85,R,L,1250
31,森 駿太,IF,2006-12-25,18,1,188,93,R,L,600
32,伊藤 茉央,P,2000-11-19,24,3,176,83,R,L,880
33,祖父江 大輔,P,1987-08-11,38,12,175,75,R,L,7500
34,福 敬登,P,1992-06-16,33,10,181,98,L,L,3300
35,木下 拓哉,C,1991-12-18,33,10,183,95,R,R,7000
36,福田 幸之介,P,2005-08-11,20,2,182,86,L,L,615
37,濱 将乃介,OF,2000-05-03,25,3,181,83,R,L,650
38,松葉 貴大,P,1990-08-14,35,13,179,82,L,L,5000
39,宇佐見 真吾,C,1993-06-04,32,10,181,95,R,L,4000
41,勝野 昌慶,P,1997-06-12,28,7,183,95,R,R,3800
42,ブライト 健太,OF,1999-05-07,26,4,184,92,R,R,1350
43,味谷 大誠,C,2003-06-14,22,4,180,85,R,L,610
44,川越 誠司,OF,1993-06-30,32,10,174,80,L,L,1500
45,土田 龍空,IF,2002-12-30,22,5,180,80,R,L,1520
46,梅野 雄吾,P,1999-01-13,26,9,177,86,R,R,2500
47,吉田 聖弥,P,2002-05-23,23,1,176,80,L,L,1200
48,土生 翔太,P,2001-03-10,24,2,180,93,R,R,792
49,加藤 匠馬,C,1992-04-29,33,11,175,85,R,R,2200
50,清水 達也,P,1999-11-03,25,8,185,95,R,R,9500
51,上林 誠知,OF,1995-08-01,30,12,185,90,R,L,1750
52,マルテ,P,1995-02-02,30,1,188,98,R,R,15000
53,駿太,OF,1993-03-05,32,15,180,85,R,L,1900
54,藤嶋 健人,P,1998-05-08,27,9,177,90,R,R,8500
55,細川 成也,OF,1998-08-04,27,9,179,98,R,R,9200
57,山浅 龍之介,C,2004-04-21,21,3,175,82,R,L,610
58,石橋 康太,C,2000-12-07,24,7,181,95,R,R,1150
59,齋藤 綱記,P,1996-12-18,28,11,182,92,L,L,4500
60,山本 泰寛,IF,1993-10-10,31,10,176,76,R,R,2000
61,高橋 幸佑,P,2006-12-31,18,1,177,82,L,L,540
63,板山 祐太郎,IF,1994-03-27,31,10,180,88,R,L,1400
64,有馬 惠叶,P,2006-09-20,18,1,190,78,R,R,540
65,佐藤 龍世,IF,1997-01-15,28,7,174,85,R,R,3400
66,鵜飼 航丞,OF,1999-05-30,26,4,183,100,R,R,1130
69,三浦 瑞樹,P,1999-09-02,25,4,174,79,LR,500
70,近藤 廉,P,1998-09-22,26,5,180,93,L,L,510
90,松山 晋也,P,2000-06-23,25,3,188,92,R,R,5000
91,メヒア,P,1997-03-03,28,3,193,104,R,R,10000
93,マラー,P,1997-10-07,27,1,201,118,LR,10000
94,ウォルターズ,P,1997-05-18,28,1,195,102,R,R,6000
95,ロドリゲス,IF,2002-03-31,23,2,184,74,R,R,1500
97,樋口 正修,IF,1998-11-17,26,3,177,76,R,L,531
201,加藤 竜馬,OF,1999-05-13,26,2,185,102,R,B,655
202,中村 奈一輝,IF,2006-08-16,18,1,183,73,R,R,300
203,井上 剣也,P,2006-12-20,18,1,178,80,R,R,300
207,星野 真生,IF,2003-12-01,21,4,176,82,R,R,505
208,石川 翔,P,1999-12-14,25,8,180,89,R,L,511
209,福元 悠真,OF,1999-12-01,25,4,180,85,R,R,620
212,野中 天翔,P,2005-02-05,20,3,182,87,L,L,300
213,森山 暁生,P,2005-01-11,20,3,183,90,L,L,600
215,日渡 騰輝,C,2004-09-20,20,2,173,89,R,L,300
216,菊田 翔友,P,2003-09-25,21,2,182,88,R,R,300
218,川上 理偉,IF,2001-03-10,24,2,178,85,R,R,300
219,マルティネス,P,2003-09-28,21,1,177,72,L,L,1000
220,モニエル,OF,2001-04-17,24,2,190,106,R,R,1000
