no,name,position,birthday,age,years,height,weight,pitch,bat,salary
00,湯浅 大,IF,2000-01-24,25,8,172,73,R,R,1500
0,増田 大輝,IF,1993-07-29,32,10,172,68,R,R,2450
002,中田 歩夢,IF,2004-06-27,21,3,172,77,R,R,430
2,吉川 尚輝,IF,1995-02-08,30,9,177,82,R,L,20000
004,村山 源,IF,2005-06-27,20,2,179,66,R,R,390
5,門脇 誠,IF,2001-01-24,24,3,171,76,R,L,4500
005,田上 優弥,IF,2005-06-08,20,2,180,90,R,R,360
6,坂本 勇人,IF,1988-12-14,36,19,186,86,R,R,50000
006,坂本 勇人,C,2002-04-15,23,5,177,84,R,R,380
007,宇都宮 葵星,IF,2004-06-23,21,2,175,70,R,L,400
7,長野 久義,OF,1984-12-06,40,16,180,85,R,R,5000
8,丸 佳浩,OF,1989-04-11,36,18,177,94,R,L,32000
008,相澤 白虎,IF,2004-05-28,21,3,178,84,R,R,380
010,大津 綾也,C,2003-05-28,22,4,175,77,R,R,380
10,甲斐 拓也,C,1992-11-05,32,15,170,87,R,R,21000
11,田中 将大,P,1988-11-01,36,12,188,97,R,R,16000
012,三浦 克也,P,2001-04-28,24,2,179,80,L,L,390
12,萩尾 匡也,OF,2000-12-28,24,3,180,85,R,R,1900
013,ティマ,OF,2004-09-25,20,5,194,106,R,R,550
13,キャベッジ,OF,1997-05-03,28,1,188,92,R,L,20000
014,堀江 正太郎,P,2006-10-08,18,1,187,88,R,R,360
015,鈴木 圭晋,P,2006-07-09,19,1,183,85,R,L,360
15,大勢,P,1999-06-29,26,4,183,90,R,R,9000
016,千葉 隆広,P,2005-05-15,20,2,174,82,L,L,380
17,西舘 勇陽,P,2002-03-11,23,2,185,79,R,R,2800
018,木下 幹也,P,2002-05-01,23,5,185,92,R,R,450
19,山﨑 伊織,P,1998-10-10,26,5,181,81,R,L,9000
019,園田 純規,P,2005-07-07,20,2,184,75,R,R,380
20,戸郷 翔征,P,2000-04-04,25,7,187,85,R,R,30000
021,松井 颯,P,2000-09-14,24,3,178,83,R,R,660
022,亀田 啓太,C,1999-04-09,26,4,185,97,R,R,400
22,小林 誠司,C,1989-06-07,36,12,178,86,R,R,4000
023,田村 朋輝,P,2004-04-06,21,3,184,86,R,R,390
23,石塚 裕惺,IF,2006-04-06,19,1,182,84,R,R,1200
24,大城 卓三,C,1993-02-11,32,8,187,95,R,L,16000
024,坂本 達也,C,2002-08-31,22,1,173,76,R,R,400
25,岡本 和真,IF,1996-06-30,29,11,186,100,R,R,54000
025,竹下 徠空,IF,2006-11-12,18,1,183,98,R,R,360
26,今村 信貴,P,1994-03-15,31,14,180,90,L,L,3400
026,吉村 優聖歩,P,2004-12-08,20,3,181,84,L,L,370
027,北村 流音,IF,2005-02-20,20,3,174,78,R,R,390
27,岸田 行倫,C,1996-10-10,28,8,176,88,R,R,4300
28,高橋 礼,P,1995-11-02,29,8,187,90,R,R,3700
028,富田 龍,P,1999-11-11,25,4,179,78,L,L,420
029,西川 歩,P,2006-11-15,18,1,169,76,L,L,360
29,グリフィン,P,1995-07-27,30,3,190,102,L,L,20000
030,吹田 志道,P,2007-02-21,18,1,188,84,R,R,360
30,近藤 大亮,P,1991-05-29,34,10,177,80,R,R,3500
31,赤星 優志,P,1999-07-02,26,4,175,82,R,R,3300
32,浦田 俊輔,IF,2002-08-30,22,1,171,67,R,L,1200
033,平山 功太,OF,2004-03-16,21,2,185,82,R,R,400
33,ケラー,P,1993-04-28,32,4,193,92,R,R,20000
034,森本 哲星,P,2004-09-03,20,3,175,77,L,L,390
035,ルシアーノ,P,2000-02-15,25,3,190,95,R,R,1200
35,泉口 友汰,IF,1999-05-17,26,2,178,84,R,L,2200
