no,name,position,birthday,age,years,height,weight,pitch,bat,salary
0,川瀬 晃,IF,1997-09-15,27,10,176,71,R,L,3800
00,渡邉 陸,C,2000-09-24,24,7,187,90,R,L,780
2,スチュワート・ジュニア,P,1999-11-02,25,7,198,101,R,R,70000
3,近藤 健介,OF,1993-08-09,32,14,173,85,R,L,55000
4,ダウンズ,IF,1998-07-27,27,2,178,89,R,R,9000
5,山川 穂高,IF,1991-11-23,33,12,177,114,R,R,45000
6,今宮 健太,IF,1991-07-15,34,16,172,76,R,R,30000
7,中村 晃,OF,1989-11-05,35,18,175,81,L,L,10000
8,牧原 大成,IF,1992-10-15,32,15,172,72,R,L,10000
9,柳田 悠岐,OF,1988-10-09,36,15,187,90,R,L,47000
10,上沢 直之,P,1994-02-06,31,13,185,88,R,R,25000
11,津森 宥紀,P,1998-01-21,27,6,176,87,R,R,7300
12,嶺井 博希,C,1991-06-04,34,12,176,86,R,R,7500
13,濵口 遥大,P,1995-03-16,30,9,173,80,L,L,4600
14,又吉 克樹,P,1990-11-04,34,12,179,76,R,R,15000
16,東浜 巨,P,1990-06-20,35,13,183,84,R,R,15000
17,有原 航平,P,1992-08-11,33,9,190,100,R,R,40000
18,武田 翔太,P,1993-04-03,32,14,187,90,R,R,15000
20,村上 泰斗,P,2007-02-20,18,1,178,70,R,B,800
22,牧原 巧汰,C,2002-07-13,23,5,176,84,R,L,550
23,周東 佑京,IF,1996-02-10,29,8,180,71,R,L,11000
24,栗原 陵矢,IF,1996-07-04,29,11,179,83,R,L,15000
25,庄子 雄大,IF,2002-10-02,22,1,177,75,R,L,1200
26,大津 亮介,P,1999-01-13,26,3,175,65,R,L,5500
27,岩井 俊介,P,2001-07-30,24,2,182,90,R,R,1500
28,安德 駿,P,2002-05-18,23,1,177,82,R,R,1000
29,大江 竜聖,P,1999-01-15,26,9,173,82,L,L,2450
30,佐藤 直樹,OF,1998-09-03,26,6,178,85,R,R,1400
31,正木 智也,OF,1999-11-05,25,4,182,91,R,R,3000
32,柳町 達,OF,1997-04-20,28,6,180,78,R,L,4200
33,廣瀨 隆太,IF,2001-04-07,24,2,181,87,R,R,1400
34,村田 賢一,P,2001-08-31,23,2,179,88,R,R,1000
35,モイネロ,P,1995-12-08,29,9,178,69,L,L,100000
36,イヒネ イツア,IF,2004-09-02,20,3,184,83,R,L,800
39,尾形 崇斗,P,1999-05-15,26,8,182,88,R,L,1400
40,杉山 一樹,P,1997-12-07,27,7,192,107,R,R,4000
41,前田 悠伍,P,2005-08-04,20,2,179,80,L,L,1000
42,伊藤 優輔,P,1997-01-14,28,5,178,82,R,R,820
43,井上 朋也,IF,2003-01-28,22,5,182,89,R,R,900
44,笹川 吉康,OF,2002-05-31,23,5,194,97,L,L,800
