no,name,position,birthday,age,years,height,weight,pitch,bat,salary
00,仲田 慶介,IF,1999-07-25,26,4,175,74,R,B,700
0,児玉 亮涼,IF,1998-07-10,27,3,166,65,R,R,1200
1,栗山 巧,OF,1983-09-03,41,24,177,85,R,L,8000
2,齋藤 大翔,IF,2007-01-27,18,1,181,76,R,R,1000
5,外崎 修汰,IF,1992-12-20,32,11,177,84,R,R,16000
6,源田 壮亮,IF,1993-02-16,32,9,179,75,R,L,30000
8,渡部 聖弥,OF,2002-08-31,22,1,177,88,R,R,1250
9,蛭間 拓哉,OF,2000-09-08,24,3,177,85,L,L,2400
10,デービス,IF,1993-04-27,32,1,190,97,R,R,8000
11,上田 大河,P,2001-11-15,23,2,182,86,R,R,1350
12,渡邉 勇太朗,P,2000-09-21,24,7,191,103,R,R,2000
13,髙橋 光成,P,1997-02-03,28,11,190,105,R,R,21000
15,與座 海人,P,1995-09-15,29,8,173,80,R,R,2500
16,隅田 知一郎,P,1999-08-20,25,4,177,81,L,L,9000
17,松本 航,P,1996-11-28,28,7,176,88,R,R,5200
19,佐藤 隼輔,P,2000-01-03,25,4,182,86,L,L,4300
20,田村 伊知郎,P,1994-09-19,30,9,173,86,R,L,1800
21,武内 夏暉,P,2001-07-21,24,2,187,96,L,L,4500
22,古賀 悠斗,C,1999-09-10,25,4,174,88,R,R,4600
23,糸川 亮太,P,1998-04-30,27,2,172,80,R,R,900
25,平井 克典,P,1991-12-20,33,9,180,90,R,R,9000
26,ネビン,OF,1997-05-29,28,1,193,102,R,R,25000
27,炭谷 銀仁朗,C,1987-07-19,38,20,181,98,R,R,4000
29,青山 美夏人,P,2000-07-19,25,3,184,94,R,R,1550
30,元山 飛優,IF,1998-12-04,26,5,181,82,R,L,1300
31,平沼 翔太,OF,1997-08-16,27,10,179,83,R,L,1900
32,山村 崇嘉,IF,2002-09-28,22,5,183,89,R,L,1500
33,古川 雄大,OF,2004-05-25,21,3,186,90,R,R,750
34,甲斐野 央,P,1996-11-16,28,7,188,92,R,L,3500
35,松原 聖弥,OF,1995-01-26,30,9,173,78,R,L,2000
36,山田 陽翔,P,2004-05-09,21,3,175,82,R,R,700
37,柘植 世那,C,1997-06-03,28,6,174,90,R,R,2100
38,佐藤 太陽,IF,2002-05-19,23,1,176,78,R,L,400
39,平沢 大河,IF,1997-12-24,27,10,176,80,R,L,1600
40,セデーニョ,IF,1998-08-22,26,3,194,118,R,R,16000
41,成田 晴風,P,2006-02-27,19,2,184,89,R,R,650
42,ボー・タカハシ,P,1997-01-23,28,4,183,93,R,R,4000
43,羽田 慎之介,P,2003-12-25,21,4,191,84,L,L,700
44,林 冠臣,OF,2002-12-30,22,1,195,105,R,R,1000
45,ウィンゲンター,P,1994-04-15,31,1,201,107,R,R,12000
46,狩生 聖真,P,2006-12-25,18,1,186,74,R,R,700
47,杉山 遙希,P,2005-09-23,19,2,181,85,L,L,700
48,今井 達也,P,1998-05-09,27,9,180,80,R,R,18000
49,佐々木 健,P,1996-05-13,29,5,179,87,L,L,1400
50,髙松 渡,IF,1999-07-02,26,8,177,75,R,L,1100
51,西川 愛也,OF,1999-06-10,26,8,181,90,R,L,2200
52,篠原 響,P,2006-09-20,18,1,178,76,R,R,700
53,牧野 翔矢,C,2001-03-04,24,7,178,80,R,L,720
54,黒木 優太,P,1994-08-16,30,9,180,87,R,L,1150
55,仲三河 優太,OF,2002-10-22,22,5,180,100,R,L,510
56,E.ラミレス,P,1994-07-15,31,1,188,86,R,R,13000
57,黒田 将矢,P,2004-01-24,21,4,188,85,R,R,630
58,中村 祐太,P,1995-08-31,29,12,184,90,R,R,1500
59,古賀 輝希,IF,2000-08-25,24,1,181,88,R,L,750
60,中村 剛也,IF,1983-08-15,41,24,175,105,R,R,10000
61,平良 海馬,P,1999-11-15,25,8,173,93,R,L,20000
62,滝澤 夏央,IF,2003-08-13,22,4,164,65,R,L,1100
63,長谷川 信哉,OF,2002-05-17,23,5,183,87,R,R,1500
64,龍山 暖,C,2006-05-13,19,1,175,78,R,R,600
65,古市 尊,C,2002-06-15,23,4,176,74,R,R,650
66,渡部 健人,IF,1998-12-26,26,5,176,115,R,R,1250
67,野村 大樹,IF,2000-09-10,24,7,171,84,R,R,1520
68,岸 潤一郎,OF,1996-12-08,28,6,174,83,R,R,2400
69,水上 由伸,P,1998-07-13,27,5,176,79,R,R,3000
70,豆田 泰志,P,2003-01-15,22,5,173,88,R,R,770
71,菅井 信也,P,2003-06-28,22,4,183,84,L,L,670
73,モンテル,OF,2000-03-18,25,3,187,88,R,R,400
75,奥村 光一,OF,1999-12-24,25,2,178,83,R,R,700
90,浜屋 将太,P,1999-01-26,26,6,176,79,L,L,600
99,村田 怜音,IF,2001-08-04,24,2,197,112,R,R,750
112,大曲 錬,P,1998-05-21,27,5,180,81,R,R,650
113,野田 海人,C,2005-03-18,20,3,174,80,R,R,650
114,上間 永遠,P,2001-01-31,24,6,180,82,R,R,500
116,ロペス,P,1999-09-02,25,2,193,102,R,R,400
117,宮澤 太成,P,1999-04-15,26,2,185,95,R,R,800
118,野村 和輝,IF,2003-06-07,22,3,183,100,R,R,320
120,井上 広輝,P,2001-07-17,24,6,181,84,R,R,500
121,三浦 大輝,P,2000-04-07,25,3,180,88,R,L,400
122,是澤 涼輔,C,2000-04-19,25,3,177,82,R,R,400
123,冨士 大和,P,2006-08-26,18,1,186,80,L,L,280
124,ガルシア,OF,2000-09-05,24,2,198,115,R,B,500
125,シンクレア,P,2001-06-12,24,2,193,94,L,L,400
126,谷口 朝陽,IF,2004-04-03,21,2,185,85,R,R,280
127,森脇 亮介,P,1992-07-13,33,7,175,70,R,R,2000
129,川下 将勲,P,2005-04-03,20,2,186,72,L,L,280
130,金子 功児,IF,2003-09-02,21,2,177,79,R,L,320
131,木瀬 翔太,P,2005-04-05,20,2,187,90,R,R,280
132,ラマル,OF,2006-04-08,19,1,180,91,R,R,280
133,佐藤 爽,P,2003-02-09,22,1,177,79,L,L,400
134,川野 涼太,IF,2001-06-28,24,6,178,82,R,B,600
137,澤田 遥斗,OF,2006-07-30,19,1,170,68,R,B,280
138,福尾 遥真,IF,2006-04-06,19,1,181,77,R,L,280
139,オケム,OF,2006-04-10,19,1,184,77,R,R,280
