no,name,position,birthday,age,years,height,weight,pitch,bat,salary
00,赤羽 由紘,IF,2000-06-29,25,5,176,83,R,R,900
0,並木 秀尊,OF,1999-03-23,26,5,170,72,R,R,1400
1,山田 哲人,IF,1992-07-16,33,15,181,81,R,R,50000
2,古賀 優大,C,1998-08-07,27,9,177,83,R,R,1350
3,西川 遥輝,OF,1992-04-16,33,15,181,82,R,L,3300
4,丸山 和郁,OF,1999-07-18,26,4,174,80,L,L,2600
5,川端 慎吾,IF,1987-10-16,37,20,185,86,R,L,2400
7,長岡 秀樹,IF,2001-09-26,23,6,175,82,R,L,9200
8,茂木 栄五郎,IF,1994-02-14,31,10,173,78,R,L,7000
9,塩見 泰隆,OF,1993-06-12,32,8,180,81,R,R,5700
10,宮本 丈,IF,1995-04-03,30,8,181,82,R,L,2300
11,アビラ,P,1997-01-14,28,1,180,95,R,R,15000
12,石山 泰稚,P,1988-09-01,36,13,182,83,R,R,9000
012,廣澤 優,P,2001-04-27,24,1,193,102,R,R,300
13,オスナ,IF,1992-12-12,32,5,188,106,R,R,46500
014,西舘 昂汰,P,2001-06-09,24,2,189,94,R,R,1400
15,中村 優斗,P,2003-02-08,22,1,176,86,R,L,1600
016,西濱 勇星,P,2002-11-23,22,3,181,80,R,L,300
017,翔聖,P,2005-12-17,19,2,188,81,R,R,510
17,清水 昇,P,1996-10-15,28,7,180,95,R,L,9000
18,奥川 恭伸,P,2001-04-16,24,6,184,82,R,R,2100
018,鈴木 康平,P,1994-01-21,31,8,186,92,R,R,600
19,石川 雅規,P,1980-01-22,45,24,167,73,L,L,4000
019,佐藤 琢磨,P,2000-03-18,25,4,184,86,L,L,400
20,木澤 尚文,P,1998-04-25,27,5,183,90,R,R,7000
21,吉村 貢司郎,P,1998-01-19,27,3,183,85,R,R,5000
022,松本 龍之介,C,2005-03-01,20,1,176,81,R,R,300
023,澤野 聖悠,IF,2002-03-09,23,6,186,94,R,L,280
24,星 知弥,P,1994-04-15,31,9,183,91,R,R,2800
25,サンタナ,OF,1992-08-05,33,5,195,104,R,R,38750
025,根岸 辰昇,IF,2000-09-20,24,1,180,95,L,L,300
26,山野 太一,P,1999-03-24,26,5,173,81,L,L,1400
026,髙野 颯太,IF,2005-07-28,20,2,176,90,R,R,300
27,中村 悠平,C,1990-06-17,35,17,176,79,R,R,15000
28,松本 健吾,P,1999-04-14,26,2,180,83,R,R,1600
29,小川 泰弘,P,1990-05-16,35,13,172,82,R,R,11000
30,荘司 宏太,P,2000-05-22,25,1,172,90,L,L,1200
31,モイセエフ ニキータ,OF,2006-11-29,18,1,182,87,L,L,650
32,松本 直樹,C,1993-10-17,31,8,177,82,R,R,1900
33,内山 壮真,C,2002-06-30,23,5,172,76,R,R,2200
34,田口 麗斗,P,1995-09-14,29,12,171,79,L,L,17500
35,石原 勇輝,P,2001-08-30,23,2,180,87,L,L,900
36,西村 瑠伊斗,IF,2004-07-01,21,3,178,80,R,L,670
37,山野辺 翔,IF,1994-05-24,31,7,170,74,R,R,1200
38,北村 拓己,IF,1995-08-29,29,8,181,90,R,R,1700
39,ランバート,P,1997-04-18,28,1,188,94,R,R,24000
40,高梨 裕稔,P,1991-06-05,34,12,188,94,R,R,3000
41,矢崎 拓也,P,1994-12-31,30,9,176,99,R,R,4800
42,澤井 廉,OF,2000-05-31,25,3,180,94,L,L,1000
43,山本 大貴,P,1995-11-10,29,8,184,98,L,L,3000
44,大西 広樹,P,1997-11-08,27,6,175,92,R,R,6400
45,小澤 怜史,P,1998-03-09,27,10,182,87,R,L,5200
46,太田 賢吾,OF,1997-01-19,28,11,186,87,R,L,1200
47,高橋 奎二,P,1997-05-14,28,10,180,83,L,L,5800
48,金久保 優斗,P,1999-11-04,25,8,185,87,R,L,900
49,山下 輝,P,1999-09-12,25,4,188,98,L,L,950
50,北村 恵吾,IF,2000-12-18,24,3,182,90,R,R,850
51,濱田 太貴,OF,2000-09-04,24,7,177,81,R,R,1600
52,原 樹理,P,1993-07-19,32,10,180,79,R,R,2400
53,長谷川 宙輝,P,1998-08-23,26,9,176,86,L,L,900
54,田中 陽翔,IF,2006-06-25,19,1,183,88,R,L,550
55,村上 宗隆,IF,2000-02-02,25,8,188,97,R,L,60000
56,坂本 拓己,P,2004-07-06,21,3,180,85,L,L,540
57,矢野 泰二郎,C,2002-05-22,23,1,178,82,R,R,700
58,バウマン,P,1995-09-10,29,1,193,108,R,R,15000
60,武岡 龍世,IF,2001-05-28,24,6,179,77,R,L,1600
61,宮川 哲,P,1995-10-10,29,6,177,86,R,R,1600
62,竹山 日向,P,2003-11-02,21,4,182,86,R,R,580
63,増田 珠,OF,1999-05-21,26,8,179,85,R,R,900
64,岩田 幸宏,OF,1997-07-31,28,4,175,79,L,L,1000
65,鈴木 叶,C,2006-03-21,19,2,181,81,R,R,550
66,阪口 皓亮,P,1999-08-15,25,8,188,90,R,L,1000
67,伊藤 琉偉,IF,2002-09-11,22,2,180,78,R,R,750
68,丸山 翔大,P,1998-08-22,26,5,194,90,R,L,1400
69,下川 隼佑,P,2000-03-22,25,1,176,88,R,R,300
71,沼田 翔平,P,2000-06-24,25,7,175,80,R,R,450
90,中川 拓真,C,2002-07-17,23,5,180,88,R,R,500
93,橋本 星哉,C,2000-09-18,24,3,178,85,R,L,550
99,青柳 晃洋,P,1993-12-11,31,10,183,83,R,R,5000
