No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
0,荻野 貴司,外野手,1985-10-21,39歳,16年,172cm,75kg,O型,右右,奈良,7000万円
00,池田 来翔,内野手,1999-12-11,25歳,4年,180cm,95kg,O型,右右,千葉,1300万円
1,藤原 恭大,外野手,2000-05-06,25歳,7年,181cm,80kg,B型,左左,大阪,4700万円
2,松川 虎生,捕手,2003-10-20,21歳,4年,178cm,98kg,A型,右右,大阪,1700万円
3,角中 勝也,外野手,1987-05-25,38歳,19年,180cm,85kg,A型,右左,石川,6600万円
4,友杉 篤輝,内野手,2000-11-07,24歳,3年,171cm,70kg,A型,右右,大阪,3000万円
5,安田 尚憲,内野手,1999-04-15,26歳,8年,188cm,100kg,A型,右左,大阪,4500万円
6,西川 史礁,外野手,2003-03-25,22歳,1年,182cm,88kg,A型,右右,和歌山,1600万円
7,藤岡 裕大,内野手,1993-08-08,32歳,8年,178cm,86kg,O型,右左,岡山,8500万円
8,中村 奨吾,内野手,1992-05-28,33歳,11年,180cm,86kg,A型,右右,兵庫,20000万円
10,上田 希由翔,内野手,2001-08-12,24歳,2年,183cm,96kg,O型,右左,愛知,1650万円
11,澤村 拓一,投手,1988-04-03,37歳,13年,184cm,105kg,A型,右右,栃木,20000万円
12,石川 歩,投手,1988-04-11,37歳,12年,186cm,80kg,A型,右右,富山,9000万円
14,小島 和哉,投手,1996-07-07,29歳,7年,178cm,85kg,O型,左左,埼玉,16000万円
15,美馬 学,投手,1986-09-19,38歳,15年,169cm,75kg,O型,右左,茨城,4000万円
16,種市 篤暉,投手,1998-09-07,26歳,9年,183cm,88kg,AB型,右右,青森,8500万円
18,二木 康太,投手,1995-08-01,30歳,12年,190cm,85kg,O型,右右,鹿児島,2700万円
19,唐川 侑己,投手,1989-07-05,36歳,18年,181cm,90kg,O型,右右,千葉,5800万円
21,石川 柊太,投手,1991-12-27,33歳,12年,185cm,88kg,O型,右右,東京,20000万円
22,ポランコ,外野手,1991-09-14,33歳,4年,196cm,108kg,不明,左左,ドミニカ共和国,40000万円
23,石川 慎吾,外野手,1993-04-27,32歳,14年,178cm,80kg,O型,右右,大阪,2600万円
24,東妻 勇輔,投手,1996-04-04,29歳,7年,172cm,80kg,B型,右右,和歌山,2300万円
25,岡 大海,外野手,1991-07-15,34歳,12年,185cm,80kg,B型,右右,岡山,7000万円
27,田村 龍弘,捕手,1994-05-13,31歳,13年,172cm,81kg,A型,右右,大阪,7000万円
28,菊地 吏玖,投手,2000-06-13,25歳,3年,183cm,93kg,A型,右左,北海道,2000万円
29,西野 勇士,投手,1991-03-06,34歳,17年,183cm,90kg,A型,右右,富山,15000万円
30,廣畑 敦也,投手,1997-12-03,27歳,4年,175cm,83kg,A型,右右,岡山,1600万円
31,大谷 輝龍,投手,2000-07-11,25歳,2年,180cm,81kg,A型,右右,石川,1200万円
32,佐藤 都志也,捕手,1998-01-27,27歳,6年,181cm,91kg,B型,右左,福島,8000万円
33,八木 彬,投手,1997-05-26,28歳,4年,180cm,94kg,A型,右右,和歌山,1300万円
34,高野 脩汰,投手,1998-08-13,27歳,3年,184cm,88kg,B型,左左,島根,1250万円
35,田中 晴也,投手,2004-06-06,21歳,3年,186cm,92kg,不明,右左,新潟,1100万円
36,坂本 光士郎,投手,1994-09-09,30歳,7年,179cm,80kg,B型,左左,広島,3800万円
37,小野 郁,投手,1996-10-23,28歳,11年,175cm,78kg,AB型,右右,福岡,3000万円
38,髙部 瑛斗,外野手,1997-12-11,27歳,6年,178cm,72kg,A型,右左,神奈川,3300万円
39,大下 誠一郎,内野手,1997-11-03,27歳,6年,171cm,89kg,AB型,右右,福岡,800万円
40,西村 天裕,投手,1993-05-06,32歳,8年,177cm,92kg,O型,右右,和歌山,3500万円
41,一條 力真,投手,2003-02-10,22歳,1年,190cm,90kg,AB型,右左,茨城,1000万円
42,サモンズ,投手,1995-04-27,30歳,1年,193cm,106kg,不明,左左,アメリカ,10000万円
43,石垣 雅海,内野手,1998-09-21,26歳,9年,181cm,88kg,B型,右右,山形,900万円
44,宮崎 竜成,内野手,2000-12-09,24歳,1年,173cm,90kg,O型,右左,徳島,1400万円
45,植田 将太,捕手,1997-12-18,27歳,6年,180cm,86kg,AB型,右右,大阪,500万円
