No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
0,木浪 聖也,内野手,1994-06-15,31歳,7年,179cm,81kg,O型,右左,青森,6500万円
00,ゲラ,投手,1995-09-25,29歳,2年,183cm,85kg,不明,右左,パナマ,31000万円
1,森下 翔太,外野手,2000-08-14,25歳,3年,182cm,93kg,O型,右右,神奈川,7800万円
2,梅野 隆太郎,捕手,1991-06-17,34歳,12年,173cm,77kg,A型,右右,福岡,16000万円
3,大山 悠輔,内野手,1994-12-19,30歳,9年,181cm,95kg,O型,右右,茨城,34000万円
4,熊谷 敬宥,内野手,1995-11-10,29歳,8年,175cm,68kg,A型,右右,宮城,1900万円
5,近本 光司,外野手,1994-11-09,30歳,7年,171cm,70kg,B型,左左,兵庫,37000万円
8,佐藤 輝明,内野手,1999-03-13,26歳,5年,187cm,95kg,B型,右左,兵庫,15000万円
12,坂本 誠志郎,捕手,1993-11-10,31歳,10年,176cm,79kg,O型,右右,兵庫,10000万円
13,岩崎 優,投手,1991-06-19,34歳,12年,185cm,92kg,B型,左左,静岡,20000万円
14,岩貞 祐太,投手,1991-09-05,33歳,12年,183cm,87kg,A型,左左,熊本,10000万円
15,西 純矢,投手,2001-09-13,23歳,6年,184cm,98kg,O型,右右,広島,3000万円
16,西 勇輝,投手,1990-11-10,34歳,17年,181cm,83kg,B型,右右,三重,30000万円
18,伊原 陵人,投手,2000-08-07,25歳,1年,170cm,77kg,B型,左左,奈良,1600万円
19,下村 海翔,投手,2002-03-27,23歳,2年,174cm,69kg,A型,右右,兵庫,1450万円
20,デュプランティエ,投手,1994-07-11,31歳,1年,193cm,103kg,不明,右左,アメリカ,11600万円
24,工藤 泰成,投手,2001-11-19,23歳,1年,177cm,82kg,A型,右左,秋田,300万円
25,渡邉 諒,内野手,1995-04-30,30歳,12年,178cm,86kg,B型,右右,茨城,4000万円
26,椎葉 剛,投手,2002-03-18,23歳,2年,183cm,89kg,A型,右右,大阪,950万円
27,伊藤 将司,投手,1996-05-08,29歳,5年,179cm,88kg,AB型,左左,千葉,14000万円
28,今朝丸 裕喜,投手,2006-06-02,19歳,1年,187cm,77kg,A型,右右,兵庫,720万円
29,髙橋 遥人,投手,1995-11-07,29歳,8年,181cm,81kg,A型,左左,静岡,2500万円
30,門別 啓人,投手,2004-07-10,21歳,3年,183cm,88kg,A型,左左,北海道,870万円
31,早川 太貴,投手,1999-12-18,25歳,1年,185cm,95kg,O型,右右,北海道,300万円
32,井上 広大,外野手,2001-08-12,24歳,6年,189cm,100kg,B型,右右,大阪,1100万円
33,糸原 健斗,内野手,1992-11-11,32歳,9年,175cm,81kg,O型,右左,島根,7000万円
34,漆原 大晟,投手,1996-09-10,28歳,7年,182cm,84kg,B型,右左,新潟,2500万円
35,才木 浩人,投手,1998-11-07,26歳,9年,189cm,92kg,A型,右右,兵庫,12000万円
36,畠 世周,投手,1994-05-31,31歳,9年,186cm,82kg,AB型,右左,広島,2000万円
37,及川 雅貴,投手,2001-04-18,24歳,6年,184cm,84kg,O型,左左,千葉,3000万円
38,小幡 竜平,内野手,2000-09-21,24歳,7年,184cm,78kg,B型,右左,大分,2500万円
39,榮枝 裕貴,捕手,1998-05-16,27歳,5年,180cm,86kg,A型,右右,高知,780万円
40,井坪 陽生,外野手,2005-03-17,20歳,3年,177cm,83kg,A型,右右,東京,600万円
41,村上 頌樹,投手,1998-06-25,27歳,5年,175cm,83kg,A型,右左,兵庫,8000万円
42,ネルソン,投手,1995-12-05,29歳,1年,185cm,92kg,不明,右右,アメリカ,13500万円
43,町田 隼乙,捕手,2003-04-03,22歳,1年,186cm,88kg,A型,右右,神奈川,750万円
44,戸井 零士,内野手,2005-01-18,20歳,3年,181cm,79kg,A型,右右,大阪,500万円
45,佐野 大陽,内野手,2002-02-14,23歳,1年,178cm,81kg,A型,右右,静岡,700万円
46,島本 浩也,投手,1993-02-14,32歳,15年,176cm,73kg,B型,左左,奈良,4500万円
47,桐敷 拓馬,投手,1999-06-20,26歳,4年,179cm,93kg,O型,左左,埼玉,8800万円
48,茨木 秀俊,投手,2004-06-08,21歳,3年,183cm,87kg,A型,右右,北海道,500万円
49,大竹 耕太郎,投手,1995-06-29,30歳,8年,184cm,86kg,A型,左左,熊本,9000万円
50,富田 蓮,投手,2001-09-06,23歳,3年,176cm,76kg,B型,左左,岐阜,2800万円
51,中野 拓夢,内野手,1996-06-28,29歳,5年,172cm,67kg,A型,右左,山形,14500万円
52,山田 脩也,内野手,2005-08-20,19歳,2年,177cm,70kg,A型,右右,宮城,600万円
53,島田 海吏,外野手,1996-02-06,29歳,8年,176cm,74kg,AB型,右左,熊本,3200万円
54,木下 里都,投手,2001-01-27,24歳,1年,183cm,90kg,A型,右右,福岡,1000万円
55,楠本 泰史,外野手,1995-07-07,30歳,8年,180cm,85kg,A型,右左,大阪,1800万円
56,百﨑 蒼生,内野手,2005-09-11,19歳,2年,179cm,74kg,B型,右右,熊本,500万円
57,長坂 拳弥,捕手,1994-04-28,31歳,9年,173cm,80kg,B型,右右,群馬,1200万円
58,前川 右京,外野手,2003-05-18,22歳,4年,176cm,86kg,O型,左左,三重,3200万円
59,藤田 健斗,捕手,2001-10-18,23歳,6年,173cm,78kg,A型,右右,滋賀,540万円
60,小野寺 暖,外野手,1998-03-17,27歳,6年,183cm,82kg,A型,右右,奈良,1500万円
61,豊田 寛,外野手,1997-04-28,28歳,4年,178cm,86kg,B型,右右,神奈川,830万円
62,植田 海,内野手,1996-04-19,29歳,11年,175cm,70kg,O型,右両,滋賀,2100万円
63,石黒 佑弥,投手,2001-06-20,24歳,2年,180cm,85kg,O型,右右,愛知,800万円
64,岡留 英貴,投手,1999-11-07,25歳,4年,181cm,95kg,O型,右右,沖縄,2000万円
65,湯浅 京己,投手,1999-07-17,26歳,7年,183cm,82kg,O型,右右,三重,3700万円
66,津田 淳哉,投手,2001-08-27,23歳,2年,179cm,81kg,O型,右右,奈良,720万円
67,髙寺 望夢,内野手,2002-10-17,22歳,5年,178cm,76kg,O型,右左,長野,650万円
68,中川 勇斗,捕手,2004-01-27,21歳,4年,172cm,75kg,O型,右右,愛知,540万円
69,石井 大智,投手,1997-07-29,28歳,5年,175cm,80kg,O型,右右,秋田,8200万円
82,ハートウィグ,投手,1997-12-18,27歳,1年,196cm,106kg,不明,右右,アメリカ,5800万円
85,ドリス,投手,1988-01-10,37歳,5年,196cm,106kg,不明,右右,ドミニカ共和国,1480万円
92,川原 陸,投手,2000-12-12,24歳,7年,186cm,92kg,O型,左左,長崎,520万円
94,原口 文仁,内野手,1992-03-03,33歳,16年,182cm,97kg,AB型,右右,埼玉,4000万円
95,ヘルナンデス,内野手,1996-03-02,29歳,1年,193cm,102kg,不明,右右,ドミニカ共和国,4700万円
97,野口 恭佑,外野手,2000-07-17,25歳,3年,180cm,87kg,A型,右右,長崎,700万円
98,佐藤 蓮,投手,1998-04-11,27歳,5年,189cm,105kg,A型,右右,静岡,600万円
99,ビーズリー,投手,1995-11-20,29歳,3年,191cm,102kg,不明,右右,アメリカ,24800万円
120,森木 大智,投手,2003-04-17,22歳,4年,184cm,94kg,O型,右右,高知,900万円
121,鈴木 勇斗,投手,2000-03-17,25歳,4年,174cm,86kg,A型,左左,鹿児島,800万円
122,小川 一平,投手,1997-06-03,28歳,6年,183cm,84kg,A型,右右,神奈川,850万円
123,松原 快,投手,1999-08-24,25歳,2年,180cm,91kg,O型,右右,富山,300万円
125,伊藤 稜,投手,1999-11-08,25歳,4年,178cm,85kg,B型,左左,愛知,300万円
126,福島 圭音,外野手,2001-10-06,23歳,2年,171cm,70kg,O型,右左,埼玉,300万円
128,嶋村 麟士朗,捕手,2003-07-13,22歳,1年,177cm,90kg,O型,右左,高知,300万円
130,川﨑 俊哲,内野手,2001-05-02,24歳,1年,174cm,82kg,B型,右左,石川,300万円
131,ベタンセス,投手,1999-10-17,25歳,2年,185cm,101kg,不明,右右,ドミニカ共和国,300万円
