No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
0,渡部　遼人,外野手,1999/09/02,25歳,4年,171cm,72kg,O型,左左,東京,1,600万円
00,エスピノーザ,投手,1998/03/09,27歳,2年,183cm,86kg,不明,右右,ベネズエラ,25,000万円
2,若月　健矢,捕手,1995/10/04,29歳,12年,180cm,88kg,O型,右右,埼玉,13,000万円
4,森　友哉,捕手,1995/08/08,30歳,12年,170cm,85kg,A型,右左,大阪,40,000万円
5,西野　真弘,内野手,1990/08/02,35歳,11年,167cm,71kg,O型,右左,東京,5,000万円
6,宗　佑磨,内野手,1996/06/07,29歳,11年,181cm,83kg,B型,右左,東京,7,300万円
7,西川　龍馬,外野手,1994/12/10,30歳,10年,177cm,84kg,O型,右左,大阪,30,000万円
8,麦谷　祐介,外野手,2002/07/27,23歳,1年,180cm,81kg,O型,右左,宮城,1,500万円
9,野口　智哉,内野手,1999/09/20,25歳,4年,181cm,95kg,B型,右左,奈良,2,000万円
10,大城　滉二,内野手,1993/06/14,32歳,10年,175cm,80kg,B型,右右,沖縄,4,000万円
11,山下　舜平大,投手,2002/07/16,23歳,5年,190cm,100kg,B型,右右,福岡,3,600万円
12,東　晃平,投手,1999/12/14,25歳,8年,178cm,90kg,O型,右右,兵庫,2,400万円
13,寺西　成騎,投手,2002/10/18,22歳,1年,186cm,85kg,B型,右右,石川,1,100万円
14,宇田川　優希,投手,1998/11/10,26歳,5年,184cm,92kg,O型,右右,埼玉,3,700万円
15,椋木　蓮,投手,2000/01/22,25歳,4年,179cm,86kg,O型,右右,山口,1,200万円
16,平野　佳寿,投手,1984/03/08,41歳,17年,186cm,88kg,O型,右右,京都,16,500万円
17,曽谷　龍平,投手,2000/11/30,24歳,3年,183cm,83kg,A型,左左,奈良,3,800万円
017,陳　睦衡,投手,2006/03/23,19歳,1年,181cm,84kg,不明,右左,台湾,600万円
18,宮城　大弥,投手,2001/08/25,23歳,6年,171cm,85kg,A型,左左,沖縄,20,000万円
19,山岡　泰輔,投手,1995/09/22,29歳,9年,172cm,68kg,A型,右左,広島,6,800万円
20,阿部　翔太,投手,1992/11/03,32歳,5年,178cm,80kg,B型,右左,大阪,4,800万円
21,山﨑　颯一郎,投手,1998/06/15,27歳,9年,190cm,98kg,B型,右右,石川,5,300万円
22,九里　亜蓮,投手,1991/09/01,33歳,12年,188cm,98kg,A型,右右,鳥取,14,000万円
23,吉田　輝星,投手,2001/01/12,24歳,7年,175cm,83kg,AB型,右右,秋田,3,700万円
24,紅林　弘太郎,内野手,2002/02/07,23歳,6年,187cm,94kg,B型,右右,静岡,7,900万円
25,内藤　鵬,内野手,2004/10/05,20歳,3年,180cm,103kg,A型,右右,愛知,600万円
26,齋藤　響介,投手,2004/11/18,20歳,3年,177cm,72kg,O型,右右,岩手,1,200万円
27,元　謙太,外野手,2002/05/17,23歳,5年,186cm,88kg,O型,右右,岐阜,700万円
28,富山　凌雅,投手,1997/05/03,28歳,7年,178cm,88kg,AB型,左左,和歌山,1,400万円
29,田嶋　大樹,投手,1996/08/03,29歳,8年,182cm,82kg,A型,左左,栃木,10,000万円
30,廣岡　大志,内野手,1997/04/09,28歳,10年,185cm,92kg,O型,右右,大阪,2,200万円
31,太田　椋,内野手,2001/02/14,24歳,7年,181cm,84kg,B型,右右,大阪,3,200万円
32,福永　奨,捕手,1999/07/28,26歳,4年,175cm,87kg,B型,右右,神奈川,1,000万円
33,杉澤　龍,外野手,2000/06/02,25歳,3年,175cm,80kg,O型,右左,秋田,900万円
034,村上　喬一朗,捕手,2000/12/01,24歳,3年,168cm,82kg,B型,右右,愛媛,250万円
34,横山　聖哉,内野手,2005/10/28,19歳,2年,181cm,86kg,不明,右左,長野,700万円
35,古田島　成龍,投手,1999/06/29,26歳,2年,175cm,85kg,B型,右右,茨城,3,500万円
36,オリバレス,外野手,1996/03/06,29歳,1年,185cm,88kg,不明,右右,ベネズエラ,15,000万円
37,石川　亮,捕手,1995/07/20,30歳,12年,181cm,87kg,O型,右右,神奈川,1,600万円
38,来田　涼斗,外野手,2002/10/16,22歳,5年,182cm,93kg,A型,右左,兵庫,1,600万円
39,池田　陵真,外野手,2003/08/24,21歳,4年,171cm,83kg,O型,右右,大阪,800万円
40,岩嵜　翔,投手,1989/10/21,35歳,18年,189cm,90kg,O型,右右,千葉,2,800万円
041,寿賀　弘都,投手,2005/06/16,20歳,2年,180cm,85kg,A型,左左,香川,250万円
41,佐野　皓大,外野手,1996/09/02,28歳,11年,182cm,80kg,A型,右右,大分,1,700万円
42,マチャド,投手,1993/04/22,32歳,2年,185cm,105kg,不明,右右,ベネズエラ,35,000万円
042,大江　海透,投手,2000/01/13,25歳,2年,180cm,95kg,B型,左左,佐賀,250万円
043,宮國　凌空,投手,2005/08/07,20歳,2年,176cm,86kg,O型,右右,沖縄,250万円
044,芦田　丈飛,投手,2000/02/09,25歳,2年,185cm,95kg,A型,右右,千葉,240万円
44,頓宮　裕真,捕手,1996/11/17,28歳,7年,182cm,103kg,AB型,右右,岡山,7,000万円
45,東山　玲士,投手,2000/05/05,25歳,1年,180cm,83kg,B型,右右,香川,800万円
045,河野　聡太,内野手,2000/05/22,25歳,2年,180cm,82kg,A型,右左,福岡,250万円
46,本田　仁海,投手,1999/07/27,26歳,8年,181cm,74kg,A型,右左,神奈川,2,600万円
47,山口　廉王,投手,2006/05/14,19歳,1年,193cm,97kg,O型,右右,東京,500万円
48,東松　快征,投手,2005/04/29,20歳,2年,179cm,86kg,O型,左左,愛知,600万円
49,片山　楽生,投手,2002/10/07,22歳,1年,177cm,81kg,A型,右左,北海道,800万円
50,山中　稜真,捕手,2000/12/14,24歳,1年,178cm,83kg,B型,右左,神奈川,800万円
051,今坂　幸暉,内野手,2006/10/19,18歳,1年,178cm,83kg,O型,右左,山口,240万円
052,清水　武蔵,内野手,2003/04/14,22歳,1年,173cm,78kg,B型,右右,鹿児島,240万円
52,横山　楓,投手,1997/12/28,27歳,4年,181cm,91kg,O型,右両,宮崎,700万円
053,上原　堆我,投手,2007/03/13,18歳,1年,178cm,84kg,B型,右右,静岡,240万円
54,ディアス,内野手,2000/08/13,25歳,1年,178cm,95kg,不明,右右,コロンビア,8,000万円
054,寺本　聖一,外野手,2003/02/05,22歳,1年,170cm,86kg,A型,右左,広島,240万円
055,田島　光祐,捕手,2000/04/09,25歳,1年,174cm,80kg,A型,右右,岐阜,240万円
056,乾　健斗,投手,2006/06/28,19歳,1年,188cm,88kg,不明,右右,茨城,240万円
56,小木田　敦也,投手,1998/10/10,26歳,4年,173cm,83kg,AB型,右右,秋田,3,000万円
57,山田　修義,投手,1991/09/19,33歳,16年,185cm,95kg,B型,左左,福井,6,600万円
58,井口　和朋,投手,1994/01/07,31歳,10年,175cm,75kg,O型,右右,神奈川,2,400万円
59,ペルドモ,投手,1993/05/09,32歳,3年,188cm,84kg,不明,右右,ドミニカ共和国,20,000万円
60,本田　圭佑,投手,1993/04/24,32歳,10年,180cm,80kg,A型,右右,宮城,2,900万円
