No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定)
0,小深田 大翔,内野手,1995-09-28,29歳,6年,168cm,69kg,O型,右左,兵庫,9000万円
1,宗山 塁,内野手,2003-02-27,22歳,1年,175cm,79kg,B型,右左,広島,1600万円
2,太田 光,捕手,1996-10-14,28歳,7年,178cm,76kg,O型,右右,岡山,5700万円
3,浅村 栄斗,内野手,1990-11-12,34歳,17年,182cm,90kg,O型,右右,大阪,50000万円
4,阿部 寿樹,内野手,1989-12-03,35歳,10年,185cm,85kg,B型,右右,岩手,6300万円
6,村林 一輝,内野手,1997-10-06,27歳,10年,180cm,73kg,O型,右右,大阪,5800万円
7,鈴木 大地,内野手,1989-08-18,35歳,14年,175cm,79kg,O型,右左,静岡,16000万円
8,辰己 涼介,外野手,1996-12-27,28歳,7年,180cm,74kg,A型,右左,兵庫,13000万円
9,ボイト,内野手,1991-02-13,34歳,1年,188cm,117kg,不明,右右,アメリカ,5000万円
11,岸 孝之,投手,1984-12-04,40歳,19年,180cm,77kg,A型,右右,宮城,22000万円
12,ゴンザレス,外野手,1998-01-10,27歳,1年,196cm,108kg,不明,右右,ドミニカ共和国,8600万円
14,則本 昂大,投手,1990-12-17,34歳,13年,178cm,82kg,A型,右左,滋賀,30000万円
15,ハワード,投手,1996-07-28,29歳,1年,190cm,95kg,不明,右右,アメリカ,15000万円
017,王 彦程,投手,2001-02-14,24歳,7年,180cm,82kg,不明,左左,台湾,300万円
17,古謝 樹,投手,2001-08-18,23歳,2年,182cm,75kg,O型,左左,神奈川,2300万円
19,荘司 康誠,投手,2000-10-13,24歳,3年,189cm,86kg,B型,右右,新潟,2700万円
20,ターリー,投手,1989-09-11,35歳,4年,193cm,104kg,不明,左左,アメリカ,10500万円
21,早川 隆久,投手,1998-07-06,27歳,5年,180cm,76kg,B型,左左,千葉,7000万円
22,小孫 竜二,投手,1997-09-15,27歳,3年,180cm,88kg,O型,右右,石川,900万円
022,水上 桂,捕手,2001-07-05,24歳,6年,172cm,75kg,O型,右右,兵庫,450万円
23,フランコ,内野手,1992-08-26,32歳,3年,185cm,105kg,不明,右右,ドミニカ共和国,12000万円
24,黒川 史陽,内野手,2001-04-17,24歳,6年,182cm,86kg,B型,右左,奈良,860万円
25,田中 和基,外野手,1994-08-08,31歳,9年,181cm,75kg,A型,右両,福岡,3000万円
26,中込 陽翔,投手,2002-01-23,23歳,1年,175cm,85kg,B型,右右,山梨,1000万円
27,岡島 豪郎,外野手,1989-09-07,35歳,14年,176cm,82kg,B型,右左,群馬,4300万円
28,酒居 知史,投手,1993-01-02,32歳,9年,178cm,80kg,A型,右右,大阪,8000万円
29,德山 一翔,投手,2002-04-11,23歳,1年,177cm,87kg,A型,左左,徳島,1100万円
030,平良 竜哉,内野手,1998-07-09,27歳,3年,170cm,78kg,A型,右右,沖縄,840万円
31,渡辺 翔太,投手,2000-10-29,24歳,3年,182cm,90kg,A型,右右,福岡,4000万円
32,中島 大輔,外野手,2001-06-04,24歳,2年,180cm,78kg,O型,右左,和歌山,950万円
34,山﨑 剛,内野手,1995-12-29,29歳,8年,173cm,74kg,AB型,右左,福岡,2000万円
35,島内 宏明,外野手,1990-02-02,35歳,14年,180cm,75kg,B型,左左,石川,4500万円
